Title,ReleaseDate,Metacritic
Rig 'n' Roll,Jul 9 2010,61
Ryse: Son of Rome,Oct 10 2014,61
Sacred Citadel,Apr 16 2013,61
SAGA,Aug 4 2015,61
Shadow Ops: Red Mercury,Jul 2 2014,61
Sherlock Holmes: The Mystery of The Mummy,Aug 6 2009,61
Signal Ops,Nov 18 2013,61
Spate,Mar 27 2014,61
StarDrive,Apr 26 2013,61
Sword Coast Legends,Oct 19 2015,61
Sym,May 7 2015,61
Tharsis,Jan 11 2016,61
The Guild II,Jun 24 2010,61
Traverser,Jul 9 2015,61
Velvet Assassin,May 1 2009,61
Venetica,Jan 23 2015,61
Vigil: Blood Bitterness,Jun 29 2007,61
Violett,Dec 13 2013,61
Watchmen: The End Is Nigh,Mar 4 2009,61
Windward,May 12 2015,61
Wings! Remastered Edition,Oct 17 2014,61
World War II: Panzer Claws,Sep 27 2013,61
A Fistful of Gun,Sep 23 2015,60
A Game of Dwarves,Oct 23 2012,60
Beyond Eyes,Aug 11 2015,60
Constant C,Mar 11 2014,60
Cossacks: Back to War,Sep 2 2010,60
Decay - The Mare,Feb 13 2015,60
Firefall,Jul 29 2014,60
How to Survive,Aug 29 2014,60
I am Bread,Apr 9 2015,60
IL-2 Sturmovik: Cliffs of Dover,Jul 19 2011,60
Magic 2015,Jul 16 2014,60
Off-Road Drive,Sep 29 2011,60
Pacific Storm: Allies,Aug 18 2008,60
Reign: Conflict of Nations,Jul 12 2010,60
Rigonauts,Aug 7 2012,60
Space Siege,Aug 14 2008,60
Toy Soldiers: War Chest,Aug 12 2015,60
Wars and Warriors: Joan of Arc,Sep 3 2015,60
We Are The Dwarves,Feb 25 2016,60
Alpha Prime,Nov 7 2007,59
Alter Ego,Aug 3 2010,59
AquaNox 2: Revelation,Apr 20 2010,59
Blue Estate,Apr 8 2015,59
Cross of the Dutchman,Sep 10 2015,59
Dead Effect,Dec 17 2014,59
Deadly Premonition: The Director's Cut,Oct 29 2013,59
Dream,Jul 31 2015,59
Face Noir,Oct 17 2013,59
Fireburst,Apr 25 2012,59
Ignite,Oct 28 2011,59
inMomentum,Oct 31 2011,59
Iron Grip: Warlord,Dec 5 2008,59
Journal,Feb 17 2014,59
Lifeless Planet,Jun 6 2014,59
Lucidity,Oct 7 2009,59
Lucius,Oct 26 2012,59
Mars: War Logs,Apr 26 2013,59
Master Reboot,Oct 29 2013,59
MURDERED: SOUL SUSPECT™,Jun 3 2014,59
N.E.R.O.: Nothing Ever Remains Obscure,Apr 29 2016,59
No Man's Sky,Aug 12 2016,59
No Pineapple Left Behind,Feb 18 2016,59
Obscure 2,Mar 10 2014,59
Orbital Gear,Aug 7 2014,59
POSTAL 2,Nov 2 2012,59
Rise of the Argonauts,Jan 7 2009,59
Schrödinger's Cat and the Raiders of the Lost Quark,Sep 23 2014,59
Scrap Garden,May 6 2016,59
Shattered Haven,Mar 18 2013,59
Shooting Stars!,Jan 19 2016,59
STAR WARS™: The Force Unleashed™ II,Oct 26 2010,59
Subject 13,May 28 2015,59
The Deer God,Feb 27 2015,59
The Descendant,Mar 24 2016,59
The Sun at Night,Aug 1 2014,59
Tom Clancy's Rainbow Six: Lockdown,May 13 2008,59
Tower Wars,Aug 14 2012,59
VoidExpanse,Apr 2 2015,59
Zoo Empire,Sep 3 2015,59
Bard's Gold,Aug 14 2015,58
Castlevania: Lords of Shadow 2,Feb 25 2014,58
Conflict: Denied Ops,Feb 8 2008,58
Cornerstone: The Song Of Tyrim,Apr 26 2016,58
Defenders of Ardania,Mar 14 2012,58
Game of Thrones ,Jun 7 2012,58
God Mode,Apr 19 2013,58
Highland Warriors,Mar 4 2016,58
Horizon,Feb 6 2014,58
Hotel Giant 2,Jan 27 2010,58
Hunter's Legacy,Jul 19 2016,58
Kraven Manor,Sep 26 2014,58
Kyn,Jul 28 2015,58
Lost Horizon 2,Oct 1 2015,58
Maelstrom,Feb 13 2009,58
Marine Park Empire,Sep 3 2015,58
Pineview Drive,Jul 31 2014,58
Prime World: Defenders,Jun 5 2013,58
Rayman: Raving Rabbids,Jun 13 2008,58
Shelter 2,Mar 9 2015,58
Space Hulk,Aug 15 2013,58
The Castle Doctrine,Jan 29 2014,58
The Settlers: Heritage of Kings,Jul 22 2008,58
The Weaponographist,Apr 29 2015,58
There Came an Echo,Feb 24 2015,58
Time Machine VR,May 19 2016,58
Urban Trial Freestyle,Sep 18 2013,58
ZHEROS,Feb 15 2016,58
Airline Tycoon 2,Oct 24 2011,57
Armikrog,Sep 30 2015,57
ARSLAN: THE WARRIORS OF LEGEND,Feb 9 2016,57
Back to Bed,Aug 6 2014,57
Dark Void,Jan 19 2010,57
Genesis Rising,Aug 6 2007,57
Goliath,May 12 2016,57
Jet Car Stunts,May 1 2014,57
Kill to Collect,Apr 6 2016,57
Knock-knock,Oct 4 2013,57
Legend: Hand of God,May 5 2009,57
Men of War: Condemned Heroes,Apr 12 2012,57
Naval Warfare,May 25 2011,57
Nether,Jun 5 2014,57
Ninja Reflex: Steamworks Edition,Mar 21 2008,57
Pulse,Oct 20 2015,57
Randal's Monday,Nov 12 2014,57
Sacred 3,Aug 5 2014,57
Shadow Puppeteer,Sep 29 2014,57
Shattered Skies,Jul 21 2016,57
SOL: Exodus,Jan 25 2012,57
Soul Axiom,Feb 29 2016,57
Tengami,Jan 15 2015,57
The Amazing Spider-Man 2,Apr 29 2014,57
The Assembly,Jul 19 2016,57
The First Templar,May 12 2011,57
Tiny Troopers,Aug 24 2012,57
Toren,May 11 2015,57
TRON: Evolution,Oct 6 2014,57
Two Brothers,Dec 3 2013,57
Vancouver 2010: The Official Video Game of the Olympic Winter Games,Feb 18 2010,57
Vector Thrust,Jul 2 2015,57
BeatBlasters III,Feb 21 2014,56
Bound By Flame,May 8 2014,56
Conflict Desert Storm,May 28 2012,56
Croixleur Sigma,Apr 30 2014,56
Disciples III: Renaissance,Jul 16 2010,56
Fair Strike,Apr 23 2015,56
Guardians of Middle-earth,Aug 29 2013,56
ICY,Jul 27 2015,56
Infinity Runner,Jul 14 2014,56
Iron Warriors: T-72 Tank Command,Jul 26 2006,56
Mega Coin Squad,Aug 15 2014,56
Phantaruk,Aug 16 2016,56
Pirates of Black Cove,Aug 2 2011,56
POSTAL,Mar 21 2013,56
Supreme League of Patriots Issue 1: A Patriot Is Born,Jan 29 2015,56
The Guild II: Renaissance,Jul 28 2010,56
Yar's Revenge,Apr 28 2011,56
Alone in the Dark,Oct 29 2013,55
Breached,Jun 22 2016,55
Calvino Noir,Aug 27 2015,55
CreaVures,Feb 23 2011,55
Darkout,Dec 4 2013,55
Defenders of Time,Nov 4 2014,55
DreadOut,May 15 2014,55
Gryphon Knight Epic,Aug 20 2015,55
Guardians of Graxia,Nov 10 2010,55
Hard to Be a God,Aug 24 2015,55
Hektor,Mar 13 2015,55
Humans Must Answer,Jan 16 2014,55
Iron Front : Liberation 1944,May 25 2012,55
Judge Dredd: Dredd vs Death,Mar 26 2009,55
Monochroma,May 28 2014,55
Mushroom Men: Truffle Trouble ,Mar 10 2015,55
OmniBus,May 26 2016,55
Red Game Without A Great Name,Dec 9 2015,55
Sniper: Ghost Warrior,Jun 24 2010,55
SpellForce 2 - Faith in Destiny,Jun 19 2012,55
Steel Storm: Burning Retribution,May 11 2011,55
The Blue Flamingo,Nov 18 2014,55
Warhammer Quest,Jan 7 2015,55
Woolfe - The Red Hood Diaries,Mar 17 2015,55
A Valley Without Wind,Apr 24 2012,54
Achron,Aug 29 2011,54
Battle Of Europe,Sep 18 2014,54
Bedlam,Oct 13 2015,54
Carmageddon: Reincarnation,May 21 2015,54
Dangerous Golf,Jun 2 2016,54
Duke Nukem Forever,Jun 13 2011,54
E.T. Armies,Mar 3 2016,54
El Matador,Apr 3 2014,54
Gemini: Heroes Reborn,Jan 18 2016,54
Hatoful Boyfriend: Holiday Star,Dec 15 2015,54
Homefront: The Revolution,May 17 2016,54
Jurassic Park: The Game,Nov 15 2011,54
King Arthur - Fallen Champions,Sep 16 2011,54
Moebius: Empire Rising,Apr 15 2014,54
Nexuiz,May 10 2012,54
POSTAL Redux,May 20 2016,54
Son of Nor,Apr 27 2015,54
SONIC THE HEDGEHOG 4 Episode II,May 15 2012,54
The Great Escape,Jan 11 2016,54
The Preposterous Awesomeness of Everything,Feb 9 2016,54
Trials of the Blood Dragon,Jun 13 2016,54
X-Blades,Apr 30 2009,54
Akaneiro: Demon Hunters,Nov 25 2014,53
Dead Effect 2,May 6 2016,53
Deadfall Adventures,Nov 15 2013,53
Death Track: Resurrection,May 6 2009,53
Dino D-Day,Apr 8 2011,53
Gemini Wars,Nov 2 2012,53
Harvester,Apr 4 2014,53
I Want To Be Human,Apr 15 2016,53
M.U.D. TV,Apr 19 2010,53
Planar Conquest,May 30 2016,53
Red Goddess: Inner World,Aug 31 2015,53
Sniper Elite: Nazi Zombie Army 2,Oct 31 2013,53
Speedball 2 HD,Dec 5 2013,53
Windforge,Mar 11 2014,53
Alien Rage - Unlimited,Sep 24 2013,52
Back in 1995,Apr 28 2016,52
Blade Kitten,May 22 2014,52
Enemy Front,Jun 10 2014,52
Escape Dead Island,Nov 18 2014,52
Krater,Jun 12 2012,52
Lords of Football,Apr 5 2013,52
Marine Sharpshooter II: Jungle Warfare,Apr 3 2014,52
Miner Wars 2081,Nov 28 2012,52
Sniper Ghost Warrior 2,Mar 11 2013,52
Worlds of Magic,Mar 19 2015,52
Call of Juarez: The Cartel,Sep 13 2011,51
Clutch,Jul 20 2009,51
Confrontation,Apr 4 2012,51
Darkest of Days,Sep-09,51
Daylight,Apr 29 2014,51
Delta Force: Task Force Dagger,Jun 18 2009,51
Dinocide,Jan 21 2016,51
Five Nights at Freddy's 4,Jul 23 2015,51
Hospital Tycoon,Feb 13 2009,51
Mighty No. 9,Jun 21 2016,51
Talisman: Digital Edition,Feb 25 2014,51
The Haunted: Hells Reach,Oct 24 2011,51
Animal Gods,Oct 12 2015,50
Gomo,Dec 6 2013,50
IS Defense,Apr 19 2016,50
Legendary,Dec 1 2008,50
Railroad Pioneer,Jul 1 2014,50
Shiny,Aug 31 2016,50
Trapped Dead,Jul 15 2011,50
Tryst,Sep 14 2012,50
Adventure Park,Nov 8 2013,49
Anomaly 1729,Dec 30 2015,49
Ares Omega,Mar 11 2016,49
Bad Bots, ,49
Blood Alloy: Reborn,Mar 2 2016,49
Cannon Fodder 3,Aug 6 2012,49
Corpse of Discovery,Aug 25 2015,49
Garshasp: The Monster Slayer,May 9 2011,49
Light,Jul 14 2014,49
Ship Simulator Extremes,Aug 27 2010,49
Spacebase DF-9,Oct 27 2014,49
Theatre of War 3: Korea,Mar 24 2011,49
theHunter: Primal,Mar 31 2015,49
TRISTOY,Jan 15 2015,49
YAIBA: NINJA GAIDEN Z,Mar 21 2014,49
APOX,Jan 20 2011,48
Eisenhorn: XENOS,Aug 8 2016,48
Epanalepsis,May 21 2015,48
Grotesque Tactics 2 - Dungeons and Donuts,Nov 21 2011,48
Karateka ,Dec 3 2012,48
Lucius II,Feb 13 2015,48
Resident Evil™: Operation Raccoon City,May 18 2012,48
Special Forces: Team X,Feb 6 2013,48
Arma Tactics,Oct 1 2013,47
Cities XXL,Feb 5 2015,47
Coast Guard,Oct 21 2015,47
Hexodius,Jun 21 2013,47
Karmaflow: The Rock Opera Videogame,May 6 2015,47
Line Of Defense Tactics - Tactical Advantage,Mar 17 2014,47
Tactical Intervention,Oct 8 2013,47
Frozen Hearth,Dec 19 2013,46
NightCry,Mar 28 2016,46
STAR WARS™: The Clone Wars - Republic Heroes™,Oct 6 2009,46
Starpoint Gemini,Feb 16 2012,46
Viridi,Aug 19 2015,46
Agarest: Generations of War,Feb 4 2014,45
Aliens: Colonial Marines, ,45
Bohemian Killing,Jul 21 2016,45
Deus Ex: The Fall,Mar 17 2014,45
Impire,Feb 14 2013,45
LA Cops,Mar 13 2015,45
Cortex Command,Sep 28 2012,44
Post Apocalyptic Mayhem,Mar 17 2011,44
Watchmen: The End Is Nigh Part 2,Jul 29 2009,44
Air Conflicts: Vietnam,Oct 2 2013,43
Dragons and Titans,Mar 12 2014,43
ENKI,Jul 31 2015,43
Ghostbusters: Sanctum of Slime,Mar 23 2011,43
Hatred,Jun 1 2015,43
Meridian: New World,Sep 26 2014,43
Painkiller: Redemption,Feb 25 2011,43
Perimeter 2: New Earth,Feb 10 2009,43
Prospekt,Feb 18 2016,43
Clan of Champions,Oct 30 2012,42
4PM,Jul 9 2014,41
Brigade E5: New Jagged Union,Apr 30 2014,41
Damnation,May 22 2009,41
DARK,Jul 3 2013,41
DreamBreak,Jul 21 2016,41
Monumental,Jan 22 2016,41
Rocko's Quest,Apr 24 2014,41
Wayward Manor,Jul 15 2014,41
Alekhine's Gun,Mar 11 2016,40
Doors,Feb 12 2016,40
I Can't Escape: Darkness,Sep 17 2015,40
Super Duper Party Pooper,Jun 6 2016,40
The Chaos Engine,Aug 29 2013,40
Deep Black : Reloaded,Apr 18 2012,39
Montague's Mount,Nov 19 2013,39
Only If,Jul 25 2014,39
Battle: Los Angeles,Mar 11 2011,38
Making History II: The War of the World,Aug 27 2010,38
Painkiller: Recurring Evil,Feb 29 2012,38
Painkiller: Resurrection,Oct 27 2009,38
Dementium II HD,Dec 17 2013,37
Global Ops: Commando Libya,Oct 26 2011,37
The Flock,Aug 21 2015,36
Drug Wars,Mar 17 2009,35
Ducati World Championship,Sep 21 2007,35
Shadow Harvest: Phantom Ops,Apr 5 2011,34
Takedown: Red Sabre,Feb 10 2014,34
X Rebirth,Nov 15 2013,33
Majestic Nights,Oct 30 2014,32
Zombeer,Jan 30 2015,32
Tunnel Rats 1968,May 15 2009,30
Rogue Warrior,Dec 1 2009,29
Fray,Jun 19 2012,27
Postal 3,Feb 17 2012,24
Gettysburg: Armored Warfare,Mar 27 2012,22
Citadels,Jul 25 2013,20
